# tetr_parameters.tsv - parameters for TetR, aTc
#
mechanism	part_id	param_name	value	units	comments

# Repressible promoter Hill function parameters
negativehill_transcription	ptet_TetR	K	1.6e-3	uM	RMM (TODO)
negativehill_transcription	ptet_TetR	k	3.25	/sec/uM	Tx_cat from Singhal (= ktx?? TODO)
negativehill_transcription	ptet_TetR	n	2		cooperativity
negativehill_transcription	ptet_TetR	kleak	5e-6	/sec	RMM (TODO)

# Binding of aTc to TetR
one_step_binding	aTc_protein_TetR	kb	0.2	/sec/uM	RMM (TODO)
one_step_binding	aTc_protein_TetR	ku	1E-03	/sec	RMM (TODO)
