# binding_parameters.tsv - default parameters for binding mechanisms
#
# This file contains default parameters used by the mechanisms.binding
# classes.  The parameters are set for very fast binding rates, but with 90%
# steady state binding (so low K_d).
mechanism_id	part_id	param_name	param_val	units	comments

#
# One step (and cooperative) binding
#
# The first step in various binding mechanisms is the initial binding of
# the substrates.  We define binding and unbinding reaction rates here
# for several different part types.  These rates are used by both 
# 'one_step_binding' mechanisms and '

# Chemical complex binding
binding	chemical_complex	kb	100	/sec	assuming 10 ms to diffuse across 1 um (characteristic cell size)
binding	chemical_complex	ku	10	uM/sec	90% binding

# Protein-DNA binding
binding	dna_protein	kb	0.2	/sec	TODO
binding	dna_protein	ku	1e-3	uM/sec	TODO

# One step cooperative binding
cooperative_binding		cooperativity	2		number of binding modules to bind simultaneously

# Two step cooperative binding (oligimerization)
cooperative_binding		kb1	1.0	/sec	forward rate constant for oligomerization (TODO)
cooperative_binding		ku1	0.01	uM/sec	reverse rate constant for oligomerization (TODO)
cooperative_binding		kb2	1.0	/sec	forward rate constant for oligomer-bindee binding (TODO)
cooperative_binding		ku2	0.01	uM/sec	reverse rate constant for oligomer-bindee binding (TODO)
