mechanism	part_id	param_name	value	units	comments
integration_membraneprotein		kb_oligomer	2E-03		Forward oligomerization rate constant (for size > 1) - currently arbitary value
integration_membraneprotein		ku_oligomer	2E-10		Reverse oligomerization rate constant (for size > 1) - currently arbitary value
integration_membraneprotein		kex	1E+01		Maximum integration rate constant - currently arbitary value
integration_membraneprotein		kcat	5E-01		Michaelis constant for integration - currently arbitary value
diffusion_simple		k_diff	2E-04		Diffusion rate constant (same for both directions) - currently arbitary value
diffusion_facilitated_channel		k_diff	1E-01		Transport rate constant (same for both directions) - currently arbitary value
diffusion_facilitated_carrier		kb_subMC	1E-01		Forward binding rate for outer substrate to carrier ('MC_out') - currently arbitary value
diffusion_facilitated_carrier		ku_subMC	1E02		Unbinding rate for outer substrate from carrier complex ('sub:MC') - currently arbitary value
diffusion_facilitated_carrier		kf_trnspMC	1E01		Forward conformational change rate (transport step) - currently arbitary value
diffusion_facilitated_carrier		kr_trnspMC	1E01		Reverse conformational change rate - currently arbitary value
diffusion_facilitated_carrier		kb_prodMC	1E-03		Forward binding rate for inner substrate to carrier ('MC_in') - currently arbitary value
diffusion_facilitated_carrier		ku_prodMC	1E02		Unbinding rate for inner substrate from carrier complex ('prod:MC') - currently arbitary value
diffusion_facilitated_carrier		k_out	1E01		Rate of carrier resetting from inner to outer conformation - currently arbitary value
diffusion_facilitated_carrier		k_in	1E01		Rate of carrier changing from outer to inner conformation - currently arbitary value
transport_secondaryactive_symporter		kb_ionMC_out	1E-01		Forward binding rate for extracellular driving ion to 'MC_out' - currently arbitary value
transport_secondaryactive_symporter		ku_ionMC_out	1E02		Unbinding rate for extracellular driving ion from 'ion_out:MC' - currently arbitary value
transport_secondaryactive_symporter		kb_subMC	1E-02		Forward binding rate for extracellular substrate to 'ion_out:MC' - currently arbitary value
transport_secondaryactive_symporter		ku_subMC	1E02		Unbinding rate for extracellular substrate from 'sub:ion:MC' - currently arbitary value
transport_secondaryactive_symporter		kf_trnspMC	1E01		Forward conformational change rate - currently arbitary value
transport_secondaryactive_symporter		kr_trnspMC	1E01		Reverse conformational change rate - currently arbitary value
transport_secondaryactive_symporter		kb_prodMC	1E-02		Binding rate for intracellular substrate to 'ion_in:MC' - currently arbitary value
transport_secondaryactive_symporter		ku_prodMC	1E02		Unbinding rate for intracellular substrate from 'prod:ion:MC' - currently arbitary value
transport_secondaryactive_symporter		kb_ionMC_in	1E-02		Forward binding rate for intracellular driving ion to 'MC_in' - currently arbitary value
transport_secondaryactive_symporter		ku_ionMC_in	1E02		Unbinding rate for intracellular driving ion from 'ion_in:MC' - currently arbitary value
transport_secondaryactive_symporter		k_out	1E01		Rate of carrier resetting from inner to outer conformation - currently arbitary value
transport_secondaryactive_symporter		k_in	1E01		Rate of carrier changing from outer to inner conformation - currently arbitary value
transport_secondaryactive_antiporter		kb_ionMC_out	1E-01		Outer driving ion forward binding rate - currently arbitary value
transport_secondaryactive_antiporter		ku_ionMC_out	1E-01		Outer driving ion unbinding rate - currently arbitary value
