# txtl_parameters.tsv - default parameters for transcription & translation
#
# This file contains default parameters use by the mechanisms.txtl
# classes. The primary parameters are based on the parameters
# in mixtures/extract_parameters.tsv.
#
# The parameters for the most complex mechanisms are listed first, with
# subsequent parameters chosen to be consistent with those values.
#
mechanism	part_id	param_name	value	units	comments

# OneStepGeneExpression
#
# kexpress collapses transcription and translation into a single step,
# kexpress = ktx * ktl / (RNA loss rate).  With ktx = ktl = 0.05 /sec and
# the 8.25E-4 /sec mRNA decay measured for TX-TL extract (see
# mixtures/extract_parameters.tsv), that is 0.05 * 0.05 / 8.25E-4.
# Mixtures that model a different RNA loss rate set their own value.
#
gene_expression		kexpress	3.030	/sec	ktx * ktl / kdil

# SimpleTranscription and SimpleTranslation
transcription		ktx	0.05	/sec	50 nt/s and transcript length of 1000 nt
translation		ktl	0.05	/sec	15 aa/s and protein length of 300 aa

#
# PositiveHillTranscription and NegativeHillTranscription
#
# We compute the various rates here based on the the following paper:
#
#   [SK07] V. Sotiropoulos and Y. N. Kaznessis.  "Synthetic
#   Tetracycline-Inducible Regulatory Networks: Computer-Aided Design
#   of Dynamic Phenotypes."  BMC Systems Biology 1, no. 1 (2007): 7.
#   https://doi.org/10.1186/1752-0509-1-7.
#
# Table 1 presents rates for a large set of reactions (using Tc instead
# of aTc) in units of (M s)^{-1} (converted to (uM s)^{-1} here by
# multiplying by 1e-6.  Dissociation constaints are computed by dividing
# unbinding rate by the binding rate.

transcription		K	1.33e-3	uM	SK01 -> BFS formulas w/ RNAP = 1.3 (PURE)
transcription		k	2.5e-2	/sec	hand-tuned to match MM in gfp_expression.py (TODO)
transcription		n	2		cooperativity
transcription		kleak	0.013	/sec	SK07, Table 1, R37

# Transcription_MM and Translation_MM
#
# Transcription uses SK07 R31/R32, which are a binding/unbinding pair:
#
#   R31  RNAp + P + OP  -->  RNAp:P:OP        8.6E+06 /M/sec
#   R32  RNAp:P:OP  -->  RNAp + P + OP        0.01    /sec
#
# Translation uses the Singhal values, because SK07 describes ribosome
# loading with a different reaction scheme:
#
#   R45  mRNA + Ribosome  -->  Rib:mRNA       1.0E+05 /M/sec
#   R46  Rib:mRNA  -->  Rib:mRNA1 + mRNA      100     /sec
#
# In R46 the ribosome clears the ribosome binding site to form an
# elongating complex and releases the mRNA, so that another ribosome can
# load behind it (polysome formation).  Translation_MM has no separate
# elongating-complex state, and its 'ku' is a genuine dissociation back to
# free ribosome and free mRNA - a step SK07 does not model.
#
# Note that mixtures/extract_parameters.tsv and mixtures/pure_parameters.tsv
# set these same parameters and take precedence for those mixtures.
#
transcription_mm		ktx	0.05	/sec	50 nt/s and transcript length of 1000 nt
transcription_mm		kb	8.6	/uM/sec	SK07, Table 1, R31
transcription_mm		ku	0.01	/sec	SK07, Table 1, R32
translation_mm		ktl	0.05	/sec	15 aa/s and protein length of 300 aa
translation_mm		kb	0.819	/uM/sec	Singhal et al. Table S2
translation_mm		ku	0.003	/sec	Singhal et al. Table S2

# Energy_Transcription_MM and Energy_Translation_MM
energy_transcription_mm		ktx	50	/sec	50 nt/s (rate will be divided by length)
energy_transcription_mm		kb	8.6	/uM/sec	SK07, Table 1, R31
energy_transcription_mm		ku	0.01	/sec	SK07, Table 1, R32
energy_transcription_mm		kb_ntps	10	/uM/sec	fast binding of NTPs to RNAP:DNA complex (TODO)
energy_transcription_mm		ku_ntps	1e-6	/sec	slow unbinding of NTPs to RNAP:DNA complex (TODO)
energy_transcription_mm		length	1000	nt	default length of gene (for resource usage)

energy_translation_mm		ktl	15	/sec	15 aa/s (rate will be divided by length)
energy_translation_mm		kb	0.819	/uM/sec	Singhal et al. Table S2
energy_translation_mm		ku	0.003	/sec	Singhal et al. Table S2
energy_translation_mm		kb_fuel	10	/uM/sec	fast binding of NTPs to RNAP:DNA complex (TODO)
energy_translation_mm		ku_fuel	1e-6	/sec	slow unbinding of NTPs to RNAP:DNA complex (TODO)
energy_translation_mm		length	300	aa	default length of a protein (for resource uasge)
